timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778041893,1559,10,4096,11008,32,32,0.009216,0.173056,0.027648,0.023552,0.247808,0.009216,0.280576,0.158720,0.929792,29.753345,33.609665
1778254496,1559,10,4096,11008,32,32,0.008192,0.171008,0.026624,0.024576,0.247808,0.009216,0.280576,0.156672,0.924672,29.589504,33.795769
1778254969,1559,10,4096,11008,32,32,0.010240,0.169984,0.027648,0.023552,0.249856,0.009216,0.283648,0.156672,0.930816,29.786114,33.572693
1778294033,1559,10,4096,11008,32,32,0.009216,0.169984,0.025600,0.023552,0.248832,0.009216,0.281600,0.154624,0.922624,29.523968,33.870785
1778299960,1559,10,4096,11008,32,32,0.009216,0.172032,0.027648,0.022528,0.248832,0.009216,0.284672,0.154624,0.928768,29.720577,33.646721
1778300202,1559,10,4096,11008,32,32,0.009216,0.171008,0.026624,0.023552,0.248832,0.008192,0.282624,0.154624,0.924672,29.589504,33.795769
1778300454,1559,10,4096,11008,32,32,0.009216,0.173056,0.026624,0.024576,0.248832,0.008192,0.282624,0.155648,0.928768,29.720575,33.646725
1778300678,1559,10,4096,11008,32,32,0.008192,0.168960,0.025600,0.024576,0.247808,0.009216,0.281600,0.155648,0.921600,29.491199,33.908421
1778301077,1559,10,4096,11008,32,32,0.010240,0.173056,0.027648,0.022528,0.248832,0.009216,0.281600,0.156672,0.929792,29.753345,33.609665
1778301316,1559,10,4096,11008,32,32,0.009216,0.167936,0.025600,0.023552,0.248832,0.009216,0.281600,0.154624,0.920576,29.458431,33.946140
