metric,n,warmup_skipped,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,2,3,0.00972800,0.00072408,0.00921600,0.01024000,0.00972800,0.01018880,7.44322928,0.00872448,0.01073152
qkv_ms,2,3,0.17049600,0.00072408,0.16998400,0.17100800,0.17049600,0.17095680,0.42468876,0.16949248,0.17149952
rope_kvcache_ms,2,3,0.02662400,0.00144815,0.02560000,0.02764800,0.02662400,0.02754560,5.43928293,0.02461696,0.02863104
flash_attn_ms,2,3,0.02406400,0.00072408,0.02355200,0.02457600,0.02406400,0.02452480,3.00896503,0.02306048,0.02506752
out_proj_res_ms,2,3,0.24883200,0.00144815,0.24780800,0.24985600,0.24883200,0.24975360,0.58198089,0.24682496,0.25083904
rms_ffn_ms,2,3,0.00921600,0.00000000,0.00921600,0.00921600,0.00921600,0.00921600,0.00000000,0.00921600,0.00921600
ffn_w1w3_ms,2,3,0.28108800,0.00362039,0.27852800,0.28364800,0.28108800,0.28339200,1.28799049,0.27607040,0.28610560
swiglu_w2_ms,2,3,0.15616000,0.00072408,0.15564800,0.15667200,0.15616000,0.15662080,0.46367658,0.15515648,0.15716352
total_layer_ms,2,3,0.92620800,0.00796485,0.92057600,0.93184000,0.92620800,0.93127680,0.85994191,0.91516928,0.93724672
est_32_layer_ms,2,3,29.63865650,0.25487735,29.45843100,29.81888200,29.63865650,29.80085945,0.85994905,29.28541452,29.99189848
est_tok_s,2,3,33.74096850,0.29015632,33.53579700,33.94614000,33.74096850,33.92562285,0.85995255,33.33883236,34.14310464
