timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778364919,3803,50,4096,11008,32,32,0.008192,0.168960,0.026624,0.047104,0.248832,0.008192,0.282624,0.155648,0.946176,30.277632,33.027683
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778364919,3803,50,4096,11008,32,32,0.008192,0.168960,0.026624,0.047104,0.248832,0.008192,0.282624,0.155648,0.946176,30.277632,33.027683
1778368886,1559,10,4096,11008,32,32,0.010240,0.174080,0.029696,0.023552,0.248832,0.009216,0.285696,0.157696,0.939008,30.048256,33.279800
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778364919,3803,50,4096,11008,32,32,0.008192,0.168960,0.026624,0.047104,0.248832,0.008192,0.282624,0.155648,0.946176,30.277632,33.027683
1778368886,1559,10,4096,11008,32,32,0.010240,0.174080,0.029696,0.023552,0.248832,0.009216,0.285696,0.157696,0.939008,30.048256,33.279800
1778369094,390,10,4096,11008,32,32,0.009216,0.171008,0.026624,0.023552,0.249856,0.009216,0.281600,0.154624,0.925696,29.622272,33.758381
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778364919,3803,50,4096,11008,32,32,0.008192,0.168960,0.026624,0.047104,0.248832,0.008192,0.282624,0.155648,0.946176,30.277632,33.027683
1778368886,1559,10,4096,11008,32,32,0.010240,0.174080,0.029696,0.023552,0.248832,0.009216,0.285696,0.157696,0.939008,30.048256,33.279800
1778369094,390,10,4096,11008,32,32,0.009216,0.171008,0.026624,0.023552,0.249856,0.009216,0.281600,0.154624,0.925696,29.622272,33.758381
1778369328,3942,10,4096,11008,32,32,0.008192,0.172032,0.030720,0.023552,0.250880,0.009216,0.280576,0.157696,0.932864,29.851648,33.498989
1778354136,1559,10,4096,11008,32,32,0.009216,0.171008,0.027648,0.024576,0.249856,0.009216,0.283648,0.156672,0.931840,29.818882,33.535797
1778360555,1559,10,4096,11008,32,32,0.010240,0.169984,0.025600,0.023552,0.247808,0.009216,0.278528,0.155648,0.920576,29.458431,33.946140
1778364919,3803,50,4096,11008,32,32,0.008192,0.168960,0.026624,0.047104,0.248832,0.008192,0.282624,0.155648,0.946176,30.277632,33.027683
