metric,n,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,1,0.00921600,0.00000000,0.00921600,0.00921600,0.00921600,0.00921600,0.00000000,0.00921600,0.00921600
qkv_ms,1,0.17203200,0.00000000,0.17203200,0.17203200,0.17203200,0.17203200,0.00000000,0.17203200,0.17203200
rope_kvcache_ms,1,0.02662400,0.00000000,0.02662400,0.02662400,0.02662400,0.02662400,0.00000000,0.02662400,0.02662400
flash_attn_ms,1,0.02252800,0.00000000,0.02252800,0.02252800,0.02252800,0.02252800,0.00000000,0.02252800,0.02252800
out_proj_res_ms,1,0.24883200,0.00000000,0.24883200,0.24883200,0.24883200,0.24883200,0.00000000,0.24883200,0.24883200
rms_ffn_ms,1,0.00921600,0.00000000,0.00921600,0.00921600,0.00921600,0.00921600,0.00000000,0.00921600,0.00921600
ffn_w1w3_ms,1,0.28262400,0.00000000,0.28262400,0.28262400,0.28262400,0.28262400,0.00000000,0.28262400,0.28262400
swiglu_w2_ms,1,0.15769600,0.00000000,0.15769600,0.15769600,0.15769600,0.15769600,0.00000000,0.15769600,0.15769600
total_layer_ms,1,0.92876800,0.00000000,0.92876800,0.92876800,0.92876800,0.92876800,0.00000000,0.92876800,0.92876800
est_32_layer_ms,1,29.72057700,0.00000000,29.72057700,29.72057700,29.72057700,29.72057700,0.00000000,29.72057700,29.72057700
est_tok_s,1,33.64672100,0.00000000,33.64672100,33.64672100,33.64672100,33.64672100,0.00000000,33.64672100,33.64672100
