metric,n,warmup_skipped,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,3,3,0.01331200,0.00000000,0.01331200,0.01331200,0.01331200,0.01331200,0.00000000,0.01331200,0.01331200
qkv_ms,3,3,0.11776000,0.00709448,0.11366400,0.12595200,0.11366400,0.12472320,6.02452455,0.10973184,0.12578816
rope_kvcache_ms,3,3,0.01706667,0.00213163,0.01536000,0.01945600,0.01638400,0.01914880,12.48999600,0.01465450,0.01947883
flash_attn_ms,3,3,0.03003733,0.00387680,0.02560000,0.03276800,0.03174400,0.03266560,12.90660988,0.02565032,0.03442435
out_proj_res_ms,3,3,0.04573867,0.00059121,0.04505600,0.04608000,0.04608000,0.04608000,1.29257523,0.04506965,0.04640768
rms_ffn_ms,3,3,0.01228800,0.00000000,0.01228800,0.01228800,0.01228800,0.01228800,0.00000000,0.01228800,0.01228800
ffn_w1w3_ms,3,3,0.15428267,0.00118241,0.15360000,0.15564800,0.15360000,0.15544320,0.76639416,0.15294464,0.15562069
swiglu_w2_ms,3,3,0.08806400,0.00102400,0.08704000,0.08908800,0.08806400,0.08898560,1.16279070,0.08690523,0.08922277
total_layer_ms,3,3,0.47854933,0.01412724,0.46796800,0.49459200,0.47308800,0.49244160,2.95209730,0.46256285,0.49453581
est_32_layer_ms,3,3,15.31357900,0.45207061,14.97497700,15.82694300,15.13881700,15.75813040,2.95208982,14.80201295,15.82514505
est_tok_s,3,3,65.33893833,1.90140733,63.18339500,66.77806100,66.05535900,66.70579080,2.91006769,63.18729338,67.49058328
