timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778355025,6496,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.025600,0.045056,0.012288,0.153600,0.088064,0.467968,14.974977,66.778061
1778355025,6496,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.025600,0.045056,0.012288,0.153600,0.088064,0.467968,14.974977,66.778061
1778366978,4007,50,4096,11008,32,32,0.013312,0.113664,0.015360,0.031744,0.046080,0.012288,0.153600,0.087040,0.473088,15.138817,66.055359
1778355025,6496,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.025600,0.045056,0.012288,0.153600,0.088064,0.467968,14.974977,66.778061
1778366978,4007,50,4096,11008,32,32,0.013312,0.113664,0.015360,0.031744,0.046080,0.012288,0.153600,0.087040,0.473088,15.138817,66.055359
1778367363,3114,50,4096,11008,32,32,0.013312,0.125952,0.019456,0.032768,0.046080,0.012288,0.155648,0.089088,0.494592,15.826943,63.183395
1778355025,6496,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.025600,0.045056,0.012288,0.153600,0.088064,0.467968,14.974977,66.778061
1778366978,4007,50,4096,11008,32,32,0.013312,0.113664,0.015360,0.031744,0.046080,0.012288,0.153600,0.087040,0.473088,15.138817,66.055359
1778367363,3114,50,4096,11008,32,32,0.013312,0.125952,0.019456,0.032768,0.046080,0.012288,0.155648,0.089088,0.494592,15.826943,63.183395
1778399502,29896,10,4096,11008,32,32,0.015360,0.124928,0.017408,0.031744,0.049152,0.015360,0.161792,0.093184,0.508928,16.285696,61.403576
1778355025,6496,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.025600,0.045056,0.012288,0.153600,0.088064,0.467968,14.974977,66.778061
1778366978,4007,50,4096,11008,32,32,0.013312,0.113664,0.015360,0.031744,0.046080,0.012288,0.153600,0.087040,0.473088,15.138817,66.055359
1778367363,3114,50,4096,11008,32,32,0.013312,0.125952,0.019456,0.032768,0.046080,0.012288,0.155648,0.089088,0.494592,15.826943,63.183395
1778399502,29896,10,4096,11008,32,32,0.015360,0.124928,0.017408,0.031744,0.049152,0.015360,0.161792,0.093184,0.508928,16.285696,61.403576
1778399765,390,10,4096,11008,32,32,0.016384,0.154624,0.028672,0.036864,0.050176,0.012288,0.160768,0.094208,0.553984,17.727489,56.409565
