metric,n,warmup_skipped,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,8,3,0.01369600,0.00154208,0.01126400,0.01638400,0.01331200,0.01602560,11.25936910,0.01262739,0.01476461
qkv_ms,8,3,0.11993600,0.01337865,0.09420800,0.14233600,0.12083200,0.13624320,11.15482120,0.11066507,0.12920693
rope_kvcache_ms,8,3,0.02048000,0.00633605,0.01126400,0.02867200,0.01894400,0.02831360,30.93772547,0.01608934,0.02487066
flash_attn_ms,8,3,0.02956800,0.00472239,0.02048000,0.03584000,0.02918400,0.03548160,15.97128554,0.02629555,0.03284045
out_proj_res_ms,8,3,0.04544000,0.00464241,0.03686400,0.05222400,0.04608000,0.05079040,10.21657394,0.04222297,0.04865703
rms_ffn_ms,8,3,0.01292800,0.00154208,0.01024000,0.01536000,0.01280000,0.01500160,11.92824251,0.01185939,0.01399661
ffn_w1w3_ms,8,3,0.15104000,0.01499982,0.12697600,0.16691200,0.15616000,0.16476160,9.93102159,0.14064566,0.16143434
swiglu_w2_ms,8,3,0.08729600,0.00809543,0.07270400,0.09728000,0.08908800,0.09584640,9.27354153,0.08168615,0.09290585
total_layer_ms,8,3,0.48038400,0.04935406,0.38400000,0.55296000,0.48742400,0.53575680,10.27387691,0.44618338,0.51458462
est_32_layer_ms,8,3,15.37228800,1.57933003,12.28800000,17.69472100,15.59756750,17.14421860,10.27387743,14.27786813,16.46670787
est_tok_s,8,3,65.71106963,7.38963672,56.51403000,81.38021100,64.14681850,77.28332940,11.24564972,60.59031264,70.83182661
