metric,n,warmup_skipped,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,1,2,0.01228800,0.00000000,0.01228800,0.01228800,0.01228800,0.01228800,0.00000000,0.01228800,0.01228800
qkv_ms,1,2,0.12288000,0.00000000,0.12288000,0.12288000,0.12288000,0.12288000,0.00000000,0.12288000,0.12288000
rope_kvcache_ms,1,2,0.01433600,0.00000000,0.01433600,0.01433600,0.01433600,0.01433600,0.00000000,0.01433600,0.01433600
flash_attn_ms,1,2,0.03276800,0.00000000,0.03276800,0.03276800,0.03276800,0.03276800,0.00000000,0.03276800,0.03276800
out_proj_res_ms,1,2,0.05324800,0.00000000,0.05324800,0.05324800,0.05324800,0.05324800,0.00000000,0.05324800,0.05324800
rms_ffn_ms,1,2,0.01126400,0.00000000,0.01126400,0.01126400,0.01126400,0.01126400,0.00000000,0.01126400,0.01126400
ffn_w1w3_ms,1,2,0.16384000,0.00000000,0.16384000,0.16384000,0.16384000,0.16384000,0.00000000,0.16384000,0.16384000
swiglu_w2_ms,1,2,0.10137600,0.00000000,0.10137600,0.10137600,0.10137600,0.10137600,0.00000000,0.10137600,0.10137600
total_layer_ms,1,2,0.51200000,0.00000000,0.51200000,0.51200000,0.51200000,0.51200000,0.00000000,0.51200000,0.51200000
est_32_layer_ms,1,2,16.38399900,0.00000000,16.38399900,16.38399900,16.38399900,16.38399900,0.00000000,16.38399900,16.38399900
est_tok_s,1,2,61.03516000,0.00000000,61.03516000,61.03516000,61.03516000,61.03516000,0.00000000,61.03516000,61.03516000
