metric,n,warmup_skipped,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,11,3,0.01424291,0.00458986,0.00921600,0.02560000,0.01228800,0.02252800,32.22560271,0.01153047,0.01695534
qkv_ms,11,3,0.72638836,0.00430257,0.72294400,0.73728000,0.72499200,0.73420800,0.59232403,0.72384571,0.72893102
rope_kvcache_ms,11,3,0.02196945,0.00670487,0.01536000,0.03174400,0.01945600,0.03123200,30.51906596,0.01800713,0.02593178
flash_attn_ms,11,3,0.03211636,0.00935459,0.02560000,0.05836800,0.02867200,0.04864000,29.12718996,0.02658815,0.03764458
out_proj_res_ms,11,3,0.24883200,0.00250828,0.24576000,0.25497600,0.24883200,0.25241600,1.00802047,0.24734970,0.25031430
rms_ffn_ms,11,3,0.00884364,0.00069038,0.00819200,0.01024000,0.00921600,0.00972800,7.80652472,0.00843565,0.00925163
ffn_w1w3_ms,11,3,1.16614982,0.01154733,1.15404800,1.18784000,1.16224000,1.18784000,0.99020947,1.15932578,1.17297385
swiglu_w2_ms,11,3,0.66048000,0.00526141,0.65331200,0.66867200,0.65843200,0.66867200,0.79660357,0.65737071,0.66358929
total_layer_ms,11,3,2.87902255,0.02932420,2.84672000,2.93478400,2.86208000,2.92096000,1.01854700,2.86169305,2.89635204
est_32_layer_ms,11,3,92.12872109,0.93837495,91.09503900,93.91309400,91.58655500,93.47072250,1.01854768,91.57417693,92.68326525
est_tok_s,11,3,10.85539609,0.10989006,10.64814300,10.97754600,10.91863300,10.96572500,1.01230813,10.79045522,10.92033697
