metric,n,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
rms_att_ms,1,0.01331200,0.00000000,0.01331200,0.01331200,0.01331200,0.01331200,0.00000000,0.01331200,0.01331200
qkv_ms,1,0.72704000,0.00000000,0.72704000,0.72704000,0.72704000,0.72704000,0.00000000,0.72704000,0.72704000
rope_kvcache_ms,1,0.02150400,0.00000000,0.02150400,0.02150400,0.02150400,0.02150400,0.00000000,0.02150400,0.02150400
flash_attn_ms,1,0.03174400,0.00000000,0.03174400,0.03174400,0.03174400,0.03174400,0.00000000,0.03174400,0.03174400
out_proj_res_ms,1,0.24883200,0.00000000,0.24883200,0.24883200,0.24883200,0.24883200,0.00000000,0.24883200,0.24883200
rms_ffn_ms,1,0.00921600,0.00000000,0.00921600,0.00921600,0.00921600,0.00921600,0.00000000,0.00921600,0.00921600
ffn_w1w3_ms,1,1.16224000,0.00000000,1.16224000,1.16224000,1.16224000,1.16224000,0.00000000,1.16224000,1.16224000
swiglu_w2_ms,1,0.65638400,0.00000000,0.65638400,0.65638400,0.65638400,0.65638400,0.00000000,0.65638400,0.65638400
total_layer_ms,1,2.87027200,0.00000000,2.87027200,2.87027200,2.87027200,2.87027200,0.00000000,2.87027200,2.87027200
est_32_layer_ms,1,91.84870100,0.00000000,91.84870100,91.84870100,91.84870100,91.84870100,0.00000000,91.84870100,91.84870100
est_tok_s,1,10.88747000,0.00000000,10.88747000,10.88747000,10.88747000,10.88747000,0.00000000,10.88747000,10.88747000
