metric,n,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
timestamp_unix,3,1778358193.00000000,909.32667397,1778357668.00000000,1778359243.00000000,1778357668.00000000,1778359085.50000000,0.00005113,1778357164.00000000,1778359222.00000000
token,3,1559.00000000,0.00000000,1559.00000000,1559.00000000,1559.00000000,1559.00000000,0.00000000,1559.00000000,1559.00000000
dim,3,4096.00000000,0.00000000,4096.00000000,4096.00000000,4096.00000000,4096.00000000,0.00000000,4096.00000000,4096.00000000
hidden_dim,3,11008.00000000,0.00000000,11008.00000000,11008.00000000,11008.00000000,11008.00000000,0.00000000,11008.00000000,11008.00000000
n_heads,3,32.00000000,0.00000000,32.00000000,32.00000000,32.00000000,32.00000000,0.00000000,32.00000000,32.00000000
n_kv_heads,3,32.00000000,0.00000000,32.00000000,32.00000000,32.00000000,32.00000000,0.00000000,32.00000000,32.00000000
rms_att_ms,3,0.03242667,0.00059121,0.03174400,0.03276800,0.03276800,0.03276800,1.82321138,0.03175765,0.03309568
qkv_ms,3,0.98201600,0.00177362,0.97996800,0.98304000,0.98304000,0.98304000,0.18061009,0.98000896,0.98402304
rope_kvcache_ms,3,0.12296467,0.00004965,0.12293600,0.12302200,0.12293600,0.12301340,0.04037918,0.12290848,0.12302085
cpu_attn_ms,3,0.07065400,0.00420715,0.06822500,0.07551200,0.06822500,0.07478330,5.95458348,0.06589316,0.07541484
h2d_out_proj_res_ms,3,0.35524267,0.00234635,0.35388800,0.35795200,0.35388800,0.35754560,0.66049259,0.35258752,0.35789781
rms_ffn_ms,3,0.03481600,0.00000000,0.03481600,0.03481600,0.03481600,0.03481600,0.00000000,0.03481600,0.03481600
ffn_w1w3_ms,3,0.85196800,0.00000000,0.85196800,0.85196800,0.85196800,0.85196800,0.00000000,0.85196800,0.85196800
swiglu_w2_ms,3,0.88883200,0.00000000,0.88883200,0.88883200,0.88883200,0.88883200,0.00000000,0.88883200,0.88883200
total_layer_ms,3,3.33892000,0.00423833,3.33647300,3.34381400,3.33647300,3.34307990,0.12693710,3.33412388,3.34371612
est_32_layer_ms,3,106.84543900,0.13562477,106.76713600,107.00204500,106.76713600,106.97855410,0.12693548,106.69196512,106.99891288
est_tok_s,3,9.35932367,0.01187205,9.34561500,9.36617800,9.36617800,9.36617800,0.12684735,9.34588917,9.37275816
