metric,n,mean,std,min,max,median,p95,cv_pct,ci95_low,ci95_high
timestamp_unix,1,1777164406.00000000,0.00000000,1777164406.00000000,1777164406.00000000,1777164406.00000000,1777164406.00000000,0.00000000,1777164406.00000000,1777164406.00000000
token,1,1559.00000000,0.00000000,1559.00000000,1559.00000000,1559.00000000,1559.00000000,0.00000000,1559.00000000,1559.00000000
dim,1,4096.00000000,0.00000000,4096.00000000,4096.00000000,4096.00000000,4096.00000000,0.00000000,4096.00000000,4096.00000000
hidden_dim,1,11008.00000000,0.00000000,11008.00000000,11008.00000000,11008.00000000,11008.00000000,0.00000000,11008.00000000,11008.00000000
n_heads,1,32.00000000,0.00000000,32.00000000,32.00000000,32.00000000,32.00000000,0.00000000,32.00000000,32.00000000
n_kv_heads,1,32.00000000,0.00000000,32.00000000,32.00000000,32.00000000,32.00000000,0.00000000,32.00000000,32.00000000
rms_att_ms,1,0.03584000,0.00000000,0.03584000,0.03584000,0.03584000,0.03584000,0.00000000,0.03584000,0.03584000
qkv_ms,1,0.99430400,0.00000000,0.99430400,0.99430400,0.99430400,0.99430400,0.00000000,0.99430400,0.99430400
rope_kvcache_ms,1,0.12958000,0.00000000,0.12958000,0.12958000,0.12958000,0.12958000,0.00000000,0.12958000,0.12958000
cpu_attn_ms,1,0.07715400,0.00000000,0.07715400,0.07715400,0.07715400,0.07715400,0.00000000,0.07715400,0.07715400
h2d_out_proj_res_ms,1,0.35187200,0.00000000,0.35187200,0.35187200,0.35187200,0.35187200,0.00000000,0.35187200,0.35187200
rms_ffn_ms,1,0.03584000,0.00000000,0.03584000,0.03584000,0.03584000,0.03584000,0.00000000,0.03584000,0.03584000
ffn_w1w3_ms,1,0.85299200,0.00000000,0.85299200,0.85299200,0.85299200,0.85299200,0.00000000,0.85299200,0.85299200
swiglu_w2_ms,1,0.89292800,0.00000000,0.89292800,0.89292800,0.89292800,0.89292800,0.00000000,0.89292800,0.89292800
total_layer_ms,1,3.37051000,0.00000000,3.37051000,3.37051000,3.37051000,3.37051000,0.00000000,3.37051000,3.37051000
est_32_layer_ms,1,107.85632300,0.00000000,107.85632300,107.85632300,107.85632300,107.85632300,0.00000000,107.85632300,107.85632300
est_tok_s,1,9.27159400,0.00000000,9.27159400,9.27159400,9.27159400,9.27159400,0.00000000,9.27159400,9.27159400
